SUBJECT,START DATE,END DATE
German: Техникум 6  190925-wdm,24.2.2026 14:30,24.2.2026 16:00
REACT 23: Верстка сайта с React с загрузкой данных с сервера  190925-wdm,25.2.2026 09:00,25.2.2026 12:15
REACT 24: Практикум  190925-wdm,25.2.2026 12:30,25.2.2026 14:00
Web Engineering 14: Группировка. Having  190925-wdm,26.2.2026 09:00,26.2.2026 12:15
REACT 25: Summary session 5  190925-wdm,27.2.2026 09:00,27.2.2026 12:15
Web Engineering 15: Summary session 5  190925-wdm,27.2.2026 12:30,27.2.2026 14:00
REACT 26: Роутинг. react-router-dom  190925-wdm,2.3.2026 09:00,2.3.2026 12:15
REACT 27: Практикум  190925-wdm,2.3.2026 12:30,2.3.2026 14:00
Web Engineering 16: Оконные функции  190925-wdm,3.3.2026 09:00,3.3.2026 12:15
German: Техникум 7  190925-wdm,3.3.2026 14:30,3.3.2026 16:00
REACT 28: Работа с событиями и реализация UI компонентов. Хук useRef  190925-wdm,4.3.2026 09:00,4.3.2026 12:15
REACT 29: Практикум  190925-wdm,4.3.2026 12:30,4.3.2026 14:00
Web Engineering 17: Отработка группировки, having, оконных функций  190925-wdm,5.3.2026 09:00,5.3.2026 12:15
REACT 30: Summary session 6  190925-wdm,6.3.2026 09:00,6.3.2026 12:15
Web Engineering 18: Summary session 6  190925-wdm,6.3.2026 12:30,6.3.2026 14:00
REACT 31: Redux знакомство с библиотекой  190925-wdm,9.3.2026 09:00,9.3.2026 12:15
REACT 32: Практикум  190925-wdm,9.3.2026 12:30,9.3.2026 14:00
Web Engineering 19: Проектирование базы данных  190925-wdm,10.3.2026 09:00,10.3.2026 12:15
German: Техникум 8  190925-wdm,10.3.2026 14:30,10.3.2026 16:00
REACT 33: Реализация интерфейса с React и Redux  190925-wdm,11.3.2026 09:00,11.3.2026 12:15
REACT 34: Практикум  190925-wdm,11.3.2026 12:30,11.3.2026 14:00
Web engineering 20: Знакомство с mongoDB.   190925-wdm,12.3.2026 09:00,12.3.2026 12:15
REACT 35: Summary session 7  190925-wdm,13.3.2026 09:00,13.3.2026 12:15
Web engineering 21: Summary session 7  190925-wdm,13.3.2026 12:30,13.3.2026 14:00
REACT 36: Повторение. Мемоизация в React  190925-wdm,16.3.2026 09:00,16.3.2026 12:15
REACT 37: Практикум  190925-wdm,16.3.2026 12:30,16.3.2026 14:00
Web engineering 22: MongoDB Compass and mongosh. Формирование выборки.   190925-wdm,17.3.2026 09:00,17.3.2026 12:15
German: Техникум 9  190925-wdm,17.3.2026 14:30,17.3.2026 16:00
REACT 38: UI библиотеки. Material UI  190925-wdm,18.3.2026 09:00,18.3.2026 12:15
REACT 39: Практикум  190925-wdm,18.3.2026 12:30,18.3.2026 14:00
Web engineering 23: MongoDB: Создание и наполнение коллекций. Агрегация.  190925-wdm,19.3.2026 09:00,19.3.2026 12:15
REACT 40: Summary session 8  190925-wdm,20.3.2026 09:00,20.3.2026 12:15
Web engineering 24: Summary session 8  190925-wdm,20.3.2026 12:30,20.3.2026 14:00
REACT 41: Стилизация в Material UI, css in js  190925-wdm,23.3.2026 09:00,23.3.2026 12:15
REACT 42: Практикум  190925-wdm,23.3.2026 12:30,23.3.2026 14:00
Web engineering 25: MongoDB Atlas. Индексы. Наполнение коллекций.   190925-wdm,24.3.2026 09:00,24.3.2026 12:15
German: Техникум 10  190925-wdm,24.3.2026 14:30,24.3.2026 16:00
REACT 43: Совместная реализация проекта по макету с использованием изученных тем  190925-wdm,25.3.2026 09:00,25.3.2026 12:15
REACT 44: Практикум  190925-wdm,25.3.2026 12:30,25.3.2026 14:00
Web engineering 26: Репликация и CAP теорема.   190925-wdm,26.3.2026 09:00,26.3.2026 12:15
REACT 45: Summary session 9  190925-wdm,27.3.2026 09:00,27.3.2026 12:15
Web engineering 27: Summary session 9  190925-wdm,27.3.2026 12:30,27.3.2026 14:00
REACT 46: Работа с Antd и React Suite  190925-wdm,30.3.2026 09:00,30.3.2026 12:15
REACT 47: Практикум  190925-wdm,30.3.2026 12:30,30.3.2026 14:00
Web engineering 28: Практическая отработка Mongo DB  190925-wdm,31.3.2026 09:00,31.3.2026 12:15
German: Техникум 11  190925-wdm,31.3.2026 14:30,31.3.2026 16:00
REACT 48: Принципы работы redux toolkit. useSelector и useDispatch  190925-wdm,1.4.2026 09:00,1.4.2026 12:15
REACT 49: Практикум  190925-wdm,1.4.2026 12:30,1.4.2026 14:00
Web engineering 29: Revision  190925-wdm,2.4.2026 09:00,2.4.2026 12:15
REACT 50: Summary session 10  190925-wdm,3.4.2026 09:00,3.4.2026 12:15
Web engineering 30: Summary session 10  190925-wdm,3.4.2026 12:30,3.4.2026 14:00
REACT 51: Реализация todolist c помощью Redux toolkit  190925-wdm,6.4.2026 09:00,6.4.2026 12:15
REACT 52: Практикум  190925-wdm,6.4.2026 12:30,6.4.2026 14:00
REACT 53: Сетевые запросы в redux toolkit и обработка ответов запросов в extraReducers  190925-wdm,7.4.2026 09:00,7.4.2026 12:15
German: Техникум 12  190925-wdm,7.4.2026 14:30,7.4.2026 16:00
REACT 54: Практикум  190925-wdm,8.4.2026 09:00,8.4.2026 12:15
REACT 55: Совместная реализация проекта по регистрации и авторизации   190925-wdm,9.4.2026 09:00,9.4.2026 12:15
REACT 56: Практикум  190925-wdm,9.4.2026 12:30,9.4.2026 14:00
REACT 57: Summary session 11  190925-wdm,10.4.2026 09:00,10.4.2026 12:15
* REACT 58: Онбординг в проект  190925-wdm,13.4.2026 09:00,13.4.2026 12:15
REACT 59: Консультация по проекту  190925-wdm,14.4.2026 09:00,14.4.2026 12:15
German: Техникум 13  190925-wdm,14.4.2026 14:30,14.4.2026 16:00
